"enzyme"
"3-Hydroxybutyrate dehydrogenase, HBDH, 1.1.1.30"
"6-Phosphofructokinase, PFK, 2.7.1.11"
"Acid phosphatase, ACP, 3.1.3.2"
"Aconitate hydratase, sAH or mAH, 4.2.1.3"
"Adenine phosphoribosyltransferase, APRT, 2.4.2.7"
"Adenosine deaminase, ADA, 3.5.4.4"
"Adenosine kinase, ADK, 2.7.1.20"
"Adenylate kinase, AK, 2.7.4.3"
"Alanine aminotransferase, ALAT, 2.6.1.2"
"Alcohol dehydrogenase, ADH, 1.1.1.1"
"Aldehyde oxidase, AO, 1.2.3.1"
"Alkaline phosphatase, ALP, 3.1.3.1"
"alpha-Amylase, aAMY, 3.2.1.1"
"alpha-Galactosidase, aGAL, 3.2.1.22"
"alpha-Glucosidase, aGLU, 3.2.1.20"
"alpha-L-Arabinofuranosidase, aARAF, 3.2.1.55"
"alpha-L-Fucosidase, aFUC, 3.2.1.51"
"alpha-Mannosidase, sMAN, 3.2.1.24"
"AP unspecified"
"Aspartate aminotransferase, sAAT, or mAAT, 2.6.1.1"
"beta-Galactosidase, bGAL, 3.2.1.23"
"beta-Glucosidase, bGLU, 3.2.1.21"
"beta-Glucuronidase, GUS, 3.2.1.31"
"beta-N-Acetylgalactosaminidase, bGALA, 3.2.1.53"
"Carbonate dehydratase, CAH, 4.2.1.1"
"Catalase, CAT, 1.11.1.6"
"Creatine kinase, CK, 2.7.3.2"
"Dihydropteridine reductase, DHPR, 1.6.99.7"
"Dipeptidase, PEPA, 3.4.-.-"
"Enolase, ENO, 4.2.1.11"
"Esterase, EST, 3.1.1.-"
"Esterase-D, ESTD, 3.1.-.-"
"Fructose-biphosphatase, FBP, 3.1.3.11"
"Fructose-biphosphate aldolase, FBALD, 4.1.2.13"
"Fumarate hydratase, FH, 4.2.1.2"
"Galactokinase, GALK, 2.7.1.6"
"General protein, PROT"
"Glucose dehydrogenase, GDH, 1.1.1.47"
"Glucose-6-phosphate dehydrogenase, G6PDH, 1.1.1.49"
"Glucose-6-phosphate isomerase, GPI, 5.3.1.9"
"Glutamate dehydrogenase, GLUDH, 1.4.1.-"
"Glutamate-ammonia ligase, GLAL, 6.3.1.2"
"Glutathione reductase, GR, 1.6.4.2"
"Glyceraldehyde-3-phosphate dehydrogenase, GAPDH, 1.2.1.12"
"Glycerate dehydrogenase, GLYDH, 1.1.1.29"
"Glycerol-3-phosphate dehydrogenase, G3PDH, 1.1.1.8"
"Guanine deaminase, GDA, 3.5.4.3"
"Guanylate kinase, bGUK, 2.7.4.8"
"Hemoglobin, HB"
"Hexokinase, HK, 2.7.1.1"
"HP unspecified"
"Hydroxyacylglutathione hydrolase, HAGH, 3.1.2.6"
"Hypoxanthine phosphoribosyltransferase, HPRT, 2.4.2.8"
"Inorganic pyrophosphatase, PP, 3.6.1.1"
"Isocitrate dehydrogenase (NADP+), mIDHP or IDHP, 1.1.1.42"
"Lactoylglutathione lyase, aLGL, 4.4.1.5"
"L-Iditol dehydrogenase, sIDDH, 1.1.1.14"
"L-Lactate dehydrogenase, LDH, 1.1.1.27"
"Malate dehydrogenase, sMDH or mMDH, 1.1.1.37"
"Malic enzyme (NAD+), ME, 1.1.1.38 or 1.1.1.39"
"Malic enzyme (NADP+), sMEP or mMEP, 1.1.1.40"
"Mannose-6-phosphate isomerase, MPI, 5.3.1.8"
"N-Acetyl-beta-glucosaminidase, bGLUA, 3.2.1.30"
"Nucleoside-phosphate kinase, NPK, 2.7.4.4"
"Nucleoside-triphosphate pyrophosphatase, NTP, 3.6.1.19"
"Octanol dehydrogenase, ODH, 1.1.1.73"
"Ornithine carbamoyltransferase, OCT, 2.1.3.3"
"other enzymes or proteins"
"Parvalbumin, PVALB, 1.1.1.73"
"PEP unspecified"
"Peptidase-C, PEPC, 3.4.-.-"
"Peptidase-S, PEPS, 3.4.-.-"
"Phosphoglucomutase, PGM, 5.4.2.2"
"Phosphogluconate dehydrogenase, PGDH, 1.1.1.44"
"Phosphoglycerate kinase, PGK, 2.7.2.3"
"Phosphoglycerate mutase, PGAM, 5.4.2.1"
"Phosphoglycolate phosphatase, PGP, 3.1.3.18"
"Proline dipeptidase, PEPD, 3.4.13.9"
"Purine-nucleoside phosphorylase, PNP, 2.4.2.1"
"Pyruvate kinase, PK, 2.7.1.40"
"Superoxide dismutase, sSOD or mSOD, 1.15.1.1"
"Thymidine kinase, TK, 2.7.1.21"
"Transferrin, TF"
"Triose-phosphate isomerase, TPI, 5.3.1.1"
"Tripeptide aminopeptidase, PEPB, 3.4.-.-"
"Tyrosine aminotransferase, TAT, 2.6.1.5"
"UDPglucose-hexose-1-phosphate uridylyltransf.,UGHUT,2.7.7.12"
