"FoodLevel","Food","TL","SETL","RefNo","Remark","MaxLength","MinLength","TS"
3,"amphipods",2.285,0.53,12692,"Based on estimate for several species of amphipods.",NA,NA,NA
3,"ascidians",2,0,NA,"Assumed to feed exclusively on primary producers and detritus.",NA,NA,NA
3,"benth. copepods",2,0,12671,"Estimate based overwhelmingly on harpacticoids.",NA,NA,NA
2,"benth. crust.",2.5,0.5,NA,"Mean of benthic crustacean groups in Food III.",NA,NA,NA
3,"benthic algae/weeds",1,0,NA,"As defined by the Int'l. Biol. Prog.; includes seagrasses.",1500,0.800000011920929,NA
2,"birds",3.6,0.62,NA,"Mean for sea and shore birds in Food III.",NA,NA,NA
3,"bivalves",2.1,0.3,12692,"Various species in Ref. 12770.",80,1,NA
3,"blue-green algae",1,0,NA,"As defined by the Int'l. Biol. Prog. (includes cyanobacteria and similar primary producers)",NA,NA,NA
3,"bony fish",3.5,0.8,NA,"Global mean, associated with large s.e. to reflect uncertainty.",NA,NA,NA
3,"brown algae",1,0,NA,"As defined by the Int'l. Biol. Prog.",NA,NA,NA
3,"carcasses",3.5,0,NA,"As defined for detritus by the Int'l. Biol. Prog., TL value = 1, however changed to 3.5 as this may also pertain to dying organisms (DP)",NA,NA,NA
2,"cephalopods",3.5,0.37,12640,"Based on estimates for loliginids.",NA,NA,NA
3,"chitons",2.38,0.51,12692,"Estimate based on <i>Chiton  pelliserpentis</i>, <i>C. tuberculatus</i> and <i>Acanthopleura granulata</i>.",NA,NA,NA
3,"cladocerans",2,0,NA,"Assumed to feed on a diet consisting exclusively of phytoplankton and detritus.",NA,NA,NA
2,"cnidarians",2.5,0.52,NA,"Mean of jellyfish/hydroids, sea anemones and corals",NA,NA,NA
3,"crabs",2.5,0.6,12640,"Based on estimate for mainly Portunidae and Scyllaridae.",30,4,NA
3,"debris",1,0,NA,"As defined by the Int'l. Biol. Prog.; includes any associated bacteria and protozoans.",NA,NA,NA
2,"detritus",1,0,NA,"As defined by the Int'l. Biol. Prog.",NA,NA,NA
1,"detritus",1,0,NA,"As defined by the Int'l. Biol. Prog.",NA,NA,NA
3,"diatoms",1,0,NA,"As defined by the Int'l. Biol. Prog.",NA,NA,NA
3,"dinoflagellates",1,0,NA,"As defined by the Int'l. Biol. Prog.",NA,NA,NA
3,"dolphins",4.18,0.024,12626,"Mean for the families Delphinidae, Phocoenidae, Platanistidae, Iniidae and Pontoporiidae.",915,197,NA
2,"echinoderms",2.4,0.35,NA,"Mean of sea cucumber, sea urchins and sea stars in Food III.",NA,NA,NA
3,"euphausiids",2.2,0.4,12622,"Assumed, based on diet composition consisting of 80% phytoplankton and 20% herbivorous zooplankton.",6,2,NA
2,"finfish",3.5,0.8,NA,"Global mean, associated with large s.e. to reflect uncertainty.",NA,NA,NA
2,"fish (early stages)",3,0.5,NA,"Calculated mean for teleost larvae.",NA,NA,NA
3,"fish eggs/larvae",3,0.5,NA,"Calculated mean for teleost larvae.",0.340000003576279,0.0500000007450581,NA
3,"gastropods",2.37,0.58,12692,"Based on various species in Ref. 12770.",60,1,NA
3,"green algae",1,0,NA,"As defined by the Int'l. Biol. Prog.",NA,NA,NA
3,"hard corals",2.34,0.61,12692,"Corals function partly as autotrophs and partly as consumers of zooplankton; the latter dominates here.",2000,0.25,NA
2,"herps",2.6,0.52,NA,"Mean for frogs & salamanders/newts, and turtles & other reptiles in Food III.",NA,NA,NA
2,"insects",2.1,0.4,NA,"Assumed, based on a diet consisting of 90% primary producers and/or detritus and 10% first order consumers.",NA,NA,NA
3,"insects",2.2,0.4,NA,"Assumed, based on a diet of 80% primary producers and/or detritus and 20% first order consumers.",NA,NA,NA
3,"isopods",2.285,0.53,12692,"Based on estimate for several species of isopods.",NA,NA,NA
3,"jellyfish/hydroids",3,0.28,12764,"Some hydroids (e.g. <i>Velella</i>) are partly autotrophic (Ref. 12763); original troph was thus reduced from 3.16.",NA,NA,NA
2,"jellyfish/hydroids",3,0.28,12764,"Some hydroids (e.g. <i>Velella</i>) are partly autotrophic (Ref.12763); original troph was thus reduced from 3.16.",3.59999990463257,0.800000011920929,NA
3,"lobsters",3.2,0.41,12645,"Based on estimate for <i>Panulirus argus</i>.",40,4,NA
2,"mammals",4.1,0.03,NA,"Mean of dolphins and  seals/sea lions in Food III",NA,NA,NA
