"AutoCtr","WebDBName","HomePage","HP","RootURL","Description","Environment","Remarks","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS"
14,"The Fish Database of Taiwan","#http://fishdb.sinica.edu.tw/#","#http://fishdb.sinica.edu.tw/#","http://fishdb.sinica.edu.tw/","The Fish Database of Taiwan","both","The ID information is take as Genus and Species from the SPECIES table.",406,2000-09-05,NA,NA,NA,NA,NA
15,"Belize Biodiversity Information System","#http://fwie.fw.vt.edu/wcs/intro.htm#","#http://fwie.fw.vt.edu/wcs/intro.htm#","http://fwie.fw.vt.edu/wcs/bbisfish.htm","Summary of Species Accounts, Belize","both","Straight link to list.",406,2000-09-05,NA,NA,NA,NA,NA
16,"Estonian Vertebrates","#http://bio.edu.ee/animals/#","#http://bio.edu.ee/animals/#","http://bio.edu.ee/animals/","Getting overview of Estonian Vertebrates by texts, pictures and sounds.
Introducing the distinctive features","both","Straight link to list.",406,2000-09-05,NA,NA,NA,NA,NA
17,"Portuguese Freshwater Fishes","#http://www.cartapiscicola.org/#","#http://www.cartapiscicola.org/#","http://www.fluviatilis.com/dgf/?nologin=true","Portuguese Freshwater Fishes","freshwater",NA,405,2006-03-20,NA,NA,NA,NA,NA
18,"Animalia Eukarya - Romania","#http://animalia.go.ro/index1.html#","#http://animalia.go.ro/index1.html#","http://animalia.go.ro/index1.html",NA,NA,NA,405,NA,NA,NA,NA,NA,NA
19,"Fish of Latvia","#http://latvijas.daba.lv/scripts/db/saraksti/saraksti.cgi?d=zivis&l=en#","#http://latvijas.daba.lv/scripts/db/saraksti/saraksti.cgi?d=zivis&l=en#","http://latvijas.daba.lv/scripts/db/saraksti/saraksti.cgi?d=zivis&l=en",NA,NA,NA,405,NA,NA,NA,NA,NA,NA
1,"Bord Iascaigh Mhara","#http://oasis.gov.ie/education/adult_and_vocational_education/bord_iascaigh_mhara_training_courses.html#","#http://oasis.gov.ie/education/adult_and_vocational_education/bord_iascaigh_mhara_training_courses.html#","http://oasis.gov.ie/education/adult_and_vocational_education/bord_iascaigh_mhara_training_courses.html","Bord Iascaigh Mhara is the Irish State Agency with responsibility for developing the Irish seafood industry. Our website is designed to help you access information about BIM’s activities and development programmes.","both","Straight link to list",406,2000-10-04,NA,NA,NA,NA,NA
2,"FishBase","#http://www.fishbase.org#","#http://www.fishbase.org#","http://www.fishbase.org","Global database on fish","both",NA,14,2000-11-13,NA,NA,NA,NA,NA
3,"FIGIS","#http://www.fao.org/fi/figis/#","#http://www.fao.org/fi/figis/#","http://www.fao.org/fi/figis/","FAO Species Summary page.","both","The ID is in [STOCKS]![FIGIS_ID].",1,2000-11-23,NA,NA,NA,NA,NA
4,"ICTIMED","#http://www.icm.csic.es/rec/gim/basdat.htm#","#http://www.icm.csic.es/rec/gim/basdat.htm#","http://www.icm.csic.es/rec/gim/basdat.htm","Database with Mediterranean fishes.","marine","?accion=ficha&especie=Xiphias+gladius&procedencia=taxonomia",1,2002-02-28,NA,NA,NA,NA,NA
