B.class,B.family,B.species,ID
Actinopteri,Acanthuridae,Prionurus scalprum,"ASV_21,ASV_3,ASV_337,ASV_6,ASV_11,ASV_213,ASV_5,ASV_52,ASV_68"
Actinopteri,Acropomatidae,Malakichthys barbatus,ASV_283
Actinopteri,Ammodytidae,Ammodytes americanus,"ASV_241,ASV_124"
Actinopteri,Ammodytidae,Ammodytes dubius,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes personatus,"ASV_22,ASV_1336,ASV_6"
Actinopteri,Antennariidae,Antennatus coccineus,"ASV_1236,ASV_1223,ASV_460"
Actinopteri,Apogonidae,Apogon imberbis,"ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82"
Actinopteri,Argentinidae,Glossanodon semifasciatus,ASV_745
Actinopteri,Aulopidae,Hime damasi,"ASV_1076,ASV_1332"
Actinopteri,Bathylagidae,Leuroglossus schmidti,"ASV_1101,ASV_243"
Actinopteri,Belonidae,Platybelone argala,"ASV_326,ASV_1103,ASV_326,ASV_385"
Actinopteri,Blenniidae,Cirripectes imitator,"ASV_26,ASV_409,ASV_756,ASV_768,ASV_10,ASV_206"
Actinopteri,Blenniidae,Plagiotremus tapeinosoma,"ASV_1117,ASV_520,ASV_77,ASV_839,ASV_1048,ASV_1181,ASV_69"
Actinopteri,Blenniidae,Scartella cristata,"ASV_57,ASV_27"
Actinopteri,Bothidae,Bothus robinsi,"ASV_785,ASV_208,ASV_316,ASV_597,ASV_727,ASV_899"
Actinopteri,Bythitidae,Alionematichthys riukiuensis,ASV_1138
Actinopteri,Bythitidae,Brosmophycis marginata,"ASV_1129,ASV_979,ASV_1029,ASV_1335,ASV_424"
Actinopteri,Bythitidae,Grammonus robustus,"ASV_299,ASV_163"
Actinopteri,Carangidae,Caranx bucculentus,"ASV_138,ASV_317,ASV_192,ASV_215"
Actinopteri,Carangidae,Selar crumenophthalmus,"ASV_151,ASV_62"
Actinopteri,Carangidae,Trachinotus baillonii,"ASV_82,ASV_217,ASV_51"
Actinopteri,Carapidae,Carapus kagoshimanus,ASV_578
Actinopteri,Carapidae,Echiodon drummondii,ASV_983
Actinopteri,Chaetodontidae,Chaetodon ocellatus,"ASV_229,ASV_119"
