Class,Family,Species,Troph,FoodI,FoodII,FoodIII,Stage,DietPercent,ItemName,ID
Actinopteri,Acanthuridae,Prionurus scalprum,NA,NA,NA,NA,NA,NA,NA,"ASV_21,ASV_3,ASV_337,ASV_6,ASV_11,ASV_213,ASV_5,ASV_52,ASV_68"
Actinopteri,Acropomatidae,Malakichthys barbatus,NA,NA,NA,NA,NA,NA,NA,ASV_283
Actinopteri,Ammodytidae,Ammodytes americanus,3.2,zooplankton,plank. crust.,euphausiids,juv./adults,0.5,Meganyctiphanes norvegica,"ASV_241,ASV_124"
Actinopteri,Ammodytidae,Ammodytes americanus,3.2,zooplankton,plank. crust.,mysids,juv./adults,0.38999998569488525,mysids,"ASV_241,ASV_124"
Actinopteri,Ammodytidae,Ammodytes americanus,3.2,zooplankton,other plank. Invertebrates,n.a./other plank. invertebrates,juv./adults,48.61000061035156,Sagitta elegans,"ASV_241,ASV_124"
Actinopteri,Ammodytidae,Ammodytes americanus,3.2,zooplankton,plank. crust.,plank. copepods,juv./adults,50.459999084472656,Calanoida,"ASV_241,ASV_124"
Actinopteri,Ammodytidae,Ammodytes dubius,3.48,zoobenthos,benth. crust.,amphipods,juv./adults,0.800000011920929,Parathemisto sp.,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.48,zoobenthos,sponges/tunicates,ascidians,juv./adults,6.5,Urochordata,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.48,zoobenthos,benth. crust.,benth. copepods,juv./adults,59.599998474121094,Calanoida,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.48,nekton,finfish,bony fish,juv./adults,6.5,Osteichthyes,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.48,detritus,detritus,carcasses,n.a./others,22.200000762939453,Animal remains,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.48,zoobenthos,benth. crust.,n.a./other benth. crustaceans,juv./adults,1.2000000476837158,Crustacea,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.48,zooplankton,other plank. invertebrates,n.a./other plank. invertebrates,juv./adults,0.4000000059604645,Chaetognatha,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.48,zoobenthos,cnidarians,n.a./other polyps,juv./adults,2.799999952316284,Cnidaria,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.32,zoobenthos,benth. crust.,amphipods,juv./adults,9.899999618530273,Gammarus annulatus,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.32,zoobenthos,benth. crust.,benth. copepods,juv./adults,45.20000076293945,Calanus sp.,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.32,nekton,finfish,bony fish,juv./adults,1.899999976158142,Ammodytes dubius,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.32,detritus,detritus,carcasses,n.a./others,7.199999809265137,Animal remains,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.32,zooplankton,fish (early stages),fish eggs/larvae,larvae,0.6000000238418579,Osteichthyes,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.32,zooplankton,plank. crust.,mysids,juv./adults,0.20000000298023224,Neomysis americana,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.32,zoobenthos,benth. crust.,n.a./other benth. crustaceans,juv./adults,2.200000047683716,Euphausiacea,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
