Class,Family,Species,Troph,Length,FoodI,FoodII,FoodIII,Stage,DietPercent,ItemName,ID,Stations
Actinopteri,Acanthuridae,Prionurus scalprum,,50.0,,,,,,,"ASV_21,ASV_3,ASV_337,ASV_6,ASV_11,ASV_213,ASV_5,ASV_52,ASV_68","BAR,CDOU,CHAM,CMAR,CORA,CUEV,DAPH,EGAS,ELI,GARD,PCAL,PESP,PIN,PLAZ,PMAN,PMOR,PROJ,PVIC,RED,SOMB,STAFE,SUAR,TOR,not_found"
Actinopteri,Acropomatidae,Malakichthys barbatus,,18.010000228881836,,,,,,,ASV_283,not_found
Actinopteri,Ammodytidae,Ammodytes americanus,3.2,23.5,zooplankton,plank. crust.,euphausiids,juv./adults,0.5,Meganyctiphanes norvegica,"ASV_241,ASV_124","BAR,CDOU,CHAM,CMAR,PESP,PMOR"
Actinopteri,Ammodytidae,Ammodytes americanus,3.2,23.5,zooplankton,plank. crust.,mysids,juv./adults,0.3899999856948852,mysids,"ASV_241,ASV_124","BAR,CDOU,CHAM,CMAR,PESP,PMOR"
Actinopteri,Ammodytidae,Ammodytes americanus,3.2,23.5,zooplankton,other plank. Invertebrates,n.a./other plank. invertebrates,juv./adults,48.61000061035156,Sagitta elegans,"ASV_241,ASV_124","BAR,CDOU,CHAM,CMAR,PESP,PMOR"
Actinopteri,Ammodytidae,Ammodytes americanus,3.2,23.5,zooplankton,plank. crust.,plank. copepods,juv./adults,50.459999084472656,Calanoida,"ASV_241,ASV_124","BAR,CDOU,CHAM,CMAR,PESP,PMOR"
Actinopteri,Ammodytidae,Ammodytes dubius,3.48,25.0,zoobenthos,benth. crust.,amphipods,juv./adults,0.800000011920929,Parathemisto sp.,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365",not_found
Actinopteri,Ammodytidae,Ammodytes dubius,3.48,25.0,zoobenthos,sponges/tunicates,ascidians,juv./adults,6.5,Urochordata,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365",not_found
Actinopteri,Ammodytidae,Ammodytes dubius,3.48,25.0,zoobenthos,benth. crust.,benth. copepods,juv./adults,59.59999847412109,Calanoida,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365",not_found
Actinopteri,Ammodytidae,Ammodytes dubius,3.48,25.0,nekton,finfish,bony fish,juv./adults,6.5,Osteichthyes,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365",not_found
