Predator	Prey	ID
Engraulis japonicus	Zooplankton	ASV_368,ASV_535,ASV_977,ASV_197
Engraulis japonicus	Hyporhamphus quoyi	ASV_368,ASV_535,ASV_977,ASV_197,ASV_197,ASV_49,ASV_98
Engraulis japonicus	Microspathodon chrysurus	ASV_368,ASV_535,ASV_977,ASV_197,ASV_255,ASV_99
Engraulis japonicus	Scartella cristata	ASV_368,ASV_535,ASV_977,ASV_197,ASV_57,ASV_27
Engraulis japonicus	Girella cyanea	ASV_368,ASV_535,ASV_977,ASV_197,ASV_398,ASV_151
Engraulis japonicus	Ammodytes americanus	ASV_368,ASV_535,ASV_977,ASV_197,ASV_241,ASV_124
Engraulis japonicus	Benthic Invertebrates	ASV_368,ASV_535,ASV_977,ASV_197
Engraulis japonicus	Other Categories	ASV_368,ASV_535,ASV_977,ASV_197
Engraulis japonicus	Ammodytes personatus	ASV_368,ASV_535,ASV_977,ASV_197,ASV_22,ASV_1336,ASV_6
Plagiotremus tapeinosoma	Primary Producers	ASV_1117,ASV_520,ASV_77,ASV_839,ASV_1048,ASV_1181,ASV_69
Plagiotremus tapeinosoma	Engraulis japonicus	ASV_1117,ASV_520,ASV_77,ASV_839,ASV_1048,ASV_1181,ASV_69,ASV_368,ASV_535,ASV_977,ASV_197
Plagiotremus tapeinosoma	Hyporhamphus quoyi	ASV_1117,ASV_520,ASV_77,ASV_839,ASV_1048,ASV_1181,ASV_69,ASV_197,ASV_49,ASV_98
Plagiotremus tapeinosoma	Microspathodon chrysurus	ASV_1117,ASV_520,ASV_77,ASV_839,ASV_1048,ASV_1181,ASV_69,ASV_255,ASV_99
Plagiotremus tapeinosoma	Ammodytes personatus	ASV_1117,ASV_520,ASV_77,ASV_839,ASV_1048,ASV_1181,ASV_69,ASV_22,ASV_1336,ASV_6
Plagiotremus tapeinosoma	Scartella cristata	ASV_1117,ASV_520,ASV_77,ASV_839,ASV_1048,ASV_1181,ASV_69,ASV_57,ASV_27
Plagiotremus tapeinosoma	Girella cyanea	ASV_1117,ASV_520,ASV_77,ASV_839,ASV_1048,ASV_1181,ASV_69,ASV_398,ASV_151
