Predator	Prey	ID
Cephalopholis sexmaculata	Microspathodon chrysurus	ASV_8,ASV_1,ASV_255,ASV_99
Cephalopholis sexmaculata	Ammodytes personatus	ASV_8,ASV_1,ASV_22,ASV_1336,ASV_6
Cephalopholis sexmaculata	Scartella cristata	ASV_8,ASV_1,ASV_57,ASV_27
Cephalopholis sexmaculata	Bairdiella chrysoura	ASV_8,ASV_1,ASV_158,ASV_72,ASV_47,ASV_76
Cephalopholis sexmaculata	Gerres cinereus	ASV_8,ASV_1,ASV_200,ASV_94,ASV_983
Cephalopholis sexmaculata	Apogon imberbis	ASV_8,ASV_1,ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82
Cephalopholis sexmaculata	Plagiotremus tapeinosoma	ASV_8,ASV_1,ASV_1117,ASV_520,ASV_77,ASV_839,ASV_1048,ASV_1181,ASV_69
Microspathodon chrysurus	Benthic Invertebrates	ASV_255,ASV_99
Microspathodon chrysurus	Primary Producers	ASV_255,ASV_99
Microspathodon chrysurus	Zooplankton	ASV_255,ASV_99
Ammodytes personatus	Primary Producers	ASV_22,ASV_1336,ASV_6
Ammodytes personatus	Zooplankton	ASV_22,ASV_1336,ASV_6
Scartella cristata	Primary Producers	ASV_57,ASV_27
Scartella cristata	Benthic Invertebrates	ASV_57,ASV_27
Bairdiella chrysoura	Microspathodon chrysurus	ASV_158,ASV_72,ASV_47,ASV_76,ASV_255,ASV_99
Bairdiella chrysoura	Ammodytes personatus	ASV_158,ASV_72,ASV_47,ASV_76,ASV_22,ASV_1336,ASV_6
Bairdiella chrysoura	Scartella cristata	ASV_158,ASV_72,ASV_47,ASV_76,ASV_57,ASV_27
Bairdiella chrysoura	Gerres cinereus	ASV_158,ASV_72,ASV_47,ASV_76,ASV_200,ASV_94,ASV_983
Bairdiella chrysoura	Apogon imberbis	ASV_158,ASV_72,ASV_47,ASV_76,ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82
Bairdiella chrysoura	Plagiotremus tapeinosoma	ASV_158,ASV_72,ASV_47,ASV_76,ASV_1117,ASV_520,ASV_77,ASV_839,ASV_1048,ASV_1181,ASV_69
Bairdiella chrysoura	Detritus and Debris	ASV_158,ASV_72,ASV_47,ASV_76
Bairdiella chrysoura	Benthic Invertebrates	ASV_158,ASV_72,ASV_47,ASV_76
Bairdiella chrysoura	Primary Producers	ASV_158,ASV_72,ASV_47,ASV_76
Bairdiella chrysoura	Zooplankton	ASV_158,ASV_72,ASV_47,ASV_76
Gerres cinereus	Benthic Invertebrates	ASV_200,ASV_94,ASV_983
Gerres cinereus	Primary Producers	ASV_200,ASV_94,ASV_983
Gerres cinereus	Insects	ASV_200,ASV_94,ASV_983
Gerres cinereus	Zooplankton	ASV_200,ASV_94,ASV_983
Apogon imberbis	Microspathodon chrysurus	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_255,ASV_99
Apogon imberbis	Ammodytes personatus	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_22,ASV_1336,ASV_6
Apogon imberbis	Scartella cristata	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_57,ASV_27
Apogon imberbis	Bairdiella chrysoura	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_158,ASV_72,ASV_47,ASV_76
Apogon imberbis	Gerres cinereus	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_200,ASV_94,ASV_983
Apogon imberbis	Plagiotremus tapeinosoma	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_1117,ASV_520,ASV_77,ASV_839,ASV_1048,ASV_1181,ASV_69
Apogon imberbis	Benthic Invertebrates	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82
Plagiotremus tapeinosoma	Primary Producers	ASV_1117,ASV_520,ASV_77,ASV_839,ASV_1048,ASV_1181,ASV_69
Plagiotremus tapeinosoma	Microspathodon chrysurus	ASV_1117,ASV_520,ASV_77,ASV_839,ASV_1048,ASV_1181,ASV_69,ASV_255,ASV_99
Plagiotremus tapeinosoma	Ammodytes personatus	ASV_1117,ASV_520,ASV_77,ASV_839,ASV_1048,ASV_1181,ASV_69,ASV_22,ASV_1336,ASV_6
Plagiotremus tapeinosoma	Scartella cristata	ASV_1117,ASV_520,ASV_77,ASV_839,ASV_1048,ASV_1181,ASV_69,ASV_57,ASV_27
