Predator	Prey	ID
Abudefduf taurus	Phytoplankton and Algae	ASV_1162
Abudefduf taurus	Chanos chanos	ASV_1162,ASV_236,ASV_97
Abudefduf taurus	Girella cyanea	ASV_1162,ASV_398,ASV_151
Abudefduf taurus	Microspathodon chrysurus	ASV_1162,ASV_255,ASV_99
Abudefduf taurus	Mollusks	ASV_1162
Abudefduf taurus	Zooplankton and Crustaceans	ASV_1162
Abudefduf taurus	Other Invertebrates	ASV_1162
Aetobatus narinari	Abudefduf taurus	ASV_183,ASV_604,ASV_1162
Aetobatus narinari	Ammodytes americanus	ASV_183,ASV_604,ASV_241,ASV_124
Aetobatus narinari	Ammodytes dubius	ASV_183,ASV_604,ASV_331,ASV_818,ASV_954,ASV_287,ASV_365
Aetobatus narinari	Ammodytes personatus	ASV_183,ASV_604,ASV_22,ASV_1336,ASV_6
Aetobatus narinari	Apogon imberbis	ASV_183,ASV_604,ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82
Aetobatus narinari	Bairdiella chrysoura	ASV_183,ASV_604,ASV_158,ASV_72,ASV_47,ASV_76
Aetobatus narinari	Brotula multibarbata	ASV_183,ASV_604,ASV_432,ASV_956
Aetobatus narinari	Caranx bucculentus	ASV_183,ASV_604,ASV_138,ASV_317,ASV_192,ASV_215
Aetobatus narinari	Chaetodon ocellatus	ASV_183,ASV_604,ASV_229,ASV_119
Aetobatus narinari	Chanos chanos	ASV_183,ASV_604,ASV_236,ASV_97
Aetobatus narinari	Citharichthys sordidus	ASV_183,ASV_604,ASV_471
Aetobatus narinari	Coryphaenoides acrolepis	ASV_183,ASV_604,ASV_860
Aetobatus narinari	Dicentrarchus labrax	ASV_183,ASV_604,ASV_1002
Aetobatus narinari	Engraulis japonicus	ASV_183,ASV_604,ASV_368,ASV_535,ASV_977,ASV_197
Aetobatus narinari	Gerres cinereus	ASV_183,ASV_604,ASV_200,ASV_94,ASV_983
Aetobatus narinari	Girella cyanea	ASV_183,ASV_604,ASV_398,ASV_151
Aetobatus narinari	Heteropriacanthus cruentatus	ASV_183,ASV_604,ASV_795,ASV_1023
Aetobatus narinari	Hyporhamphus quoyi	ASV_183,ASV_604,ASV_197,ASV_49,ASV_98
Aetobatus narinari	Lagodon rhomboides	ASV_183,ASV_604,ASV_313,ASV_448
Aetobatus narinari	Leuroglossus schmidti	ASV_183,ASV_604,ASV_1101,ASV_243
Aetobatus narinari	Lutjanus argentimaculatus	ASV_183,ASV_604,ASV_1013,ASV_103,ASV_1085,ASV_517,ASV_1132,ASV_1342,ASV_143,ASV_502,ASV_86
Aetobatus narinari	Microspathodon chrysurus	ASV_183,ASV_604,ASV_255,ASV_99
Aetobatus narinari	Myliobatis freminvillei	ASV_183,ASV_604,ASV_253
Aetobatus narinari	Phoxinus phoxinus	ASV_183,ASV_604,ASV_419
Aetobatus narinari	Plagiotremus tapeinosoma	ASV_183,ASV_604,ASV_1117,ASV_520,ASV_77,ASV_839,ASV_1048,ASV_1181,ASV_69
Aetobatus narinari	Rhinoptera bonasus	ASV_183,ASV_604,ASV_1033
Aetobatus narinari	Sargocentron punctatissimum	ASV_183,ASV_604,ASV_264,ASV_554,ASV_140
Aetobatus narinari	Scartella cristata	ASV_183,ASV_604,ASV_57,ASV_27
Aetobatus narinari	Scopelosaurus harryi	ASV_183,ASV_604,ASV_829,ASV_577
Aetobatus narinari	Selar crumenophthalmus	ASV_183,ASV_604,ASV_151,ASV_62
Aetobatus narinari	Xyrichtys novacula	ASV_183,ASV_604,ASV_301,ASV_410,ASV_279
Aetobatus narinari	Mollusks	ASV_183,ASV_604
Ammodytes americanus	Zooplankton and Crustaceans	ASV_241,ASV_124
Ammodytes americanus	Abudefduf taurus	ASV_241,ASV_124,ASV_1162
Ammodytes americanus	Chanos chanos	ASV_241,ASV_124,ASV_236,ASV_97
Ammodytes americanus	Girella cyanea	ASV_241,ASV_124,ASV_398,ASV_151
Ammodytes americanus	Hyporhamphus quoyi	ASV_241,ASV_124,ASV_197,ASV_49,ASV_98
Ammodytes americanus	Lagodon rhomboides	ASV_241,ASV_124,ASV_313,ASV_448
Ammodytes americanus	Leuroglossus schmidti	ASV_241,ASV_124,ASV_1101,ASV_243
Ammodytes americanus	Microspathodon chrysurus	ASV_241,ASV_124,ASV_255,ASV_99
Ammodytes americanus	Scartella cristata	ASV_241,ASV_124,ASV_57,ASV_27
Ammodytes americanus	Scopelosaurus harryi	ASV_241,ASV_124,ASV_829,ASV_577
Ammodytes dubius	Abudefduf taurus	ASV_331,ASV_818,ASV_954,ASV_287,ASV_365,ASV_1162
Ammodytes dubius	Ammodytes americanus	ASV_331,ASV_818,ASV_954,ASV_287,ASV_365,ASV_241,ASV_124
Ammodytes dubius	Chanos chanos	ASV_331,ASV_818,ASV_954,ASV_287,ASV_365,ASV_236,ASV_97
Ammodytes dubius	Girella cyanea	ASV_331,ASV_818,ASV_954,ASV_287,ASV_365,ASV_398,ASV_151
Ammodytes dubius	Hyporhamphus quoyi	ASV_331,ASV_818,ASV_954,ASV_287,ASV_365,ASV_197,ASV_49,ASV_98
Ammodytes dubius	Lagodon rhomboides	ASV_331,ASV_818,ASV_954,ASV_287,ASV_365,ASV_313,ASV_448
Ammodytes dubius	Leuroglossus schmidti	ASV_331,ASV_818,ASV_954,ASV_287,ASV_365,ASV_1101,ASV_243
Ammodytes dubius	Microspathodon chrysurus	ASV_331,ASV_818,ASV_954,ASV_287,ASV_365,ASV_255,ASV_99
Ammodytes dubius	Phoxinus phoxinus	ASV_331,ASV_818,ASV_954,ASV_287,ASV_365,ASV_419
Ammodytes dubius	Scartella cristata	ASV_331,ASV_818,ASV_954,ASV_287,ASV_365,ASV_57,ASV_27
Ammodytes dubius	Scopelosaurus harryi	ASV_331,ASV_818,ASV_954,ASV_287,ASV_365,ASV_829,ASV_577
Ammodytes dubius	Zooplankton and Crustaceans	ASV_331,ASV_818,ASV_954,ASV_287,ASV_365
Ammodytes dubius	Other Invertebrates	ASV_331,ASV_818,ASV_954,ASV_287,ASV_365
Ammodytes dubius	Detritus	ASV_331,ASV_818,ASV_954,ASV_287,ASV_365
Ammodytes dubius	Mollusks	ASV_331,ASV_818,ASV_954,ASV_287,ASV_365
Ammodytes personatus	Phytoplankton and Algae	ASV_22,ASV_1336,ASV_6
Ammodytes personatus	Zooplankton and Crustaceans	ASV_22,ASV_1336,ASV_6
Ammodytes personatus	Abudefduf taurus	ASV_22,ASV_1336,ASV_6,ASV_1162
Ammodytes personatus	Ammodytes americanus	ASV_22,ASV_1336,ASV_6,ASV_241,ASV_124
Ammodytes personatus	Ammodytes dubius	ASV_22,ASV_1336,ASV_6,ASV_331,ASV_818,ASV_954,ASV_287,ASV_365
Ammodytes personatus	Chanos chanos	ASV_22,ASV_1336,ASV_6,ASV_236,ASV_97
Ammodytes personatus	Citharichthys sordidus	ASV_22,ASV_1336,ASV_6,ASV_471
Ammodytes personatus	Engraulis japonicus	ASV_22,ASV_1336,ASV_6,ASV_368,ASV_535,ASV_977,ASV_197
Ammodytes personatus	Gerres cinereus	ASV_22,ASV_1336,ASV_6,ASV_200,ASV_94,ASV_983
Ammodytes personatus	Girella cyanea	ASV_22,ASV_1336,ASV_6,ASV_398,ASV_151
Ammodytes personatus	Heteropriacanthus cruentatus	ASV_22,ASV_1336,ASV_6,ASV_795,ASV_1023
Ammodytes personatus	Hyporhamphus quoyi	ASV_22,ASV_1336,ASV_6,ASV_197,ASV_49,ASV_98
Ammodytes personatus	Lagodon rhomboides	ASV_22,ASV_1336,ASV_6,ASV_313,ASV_448
Ammodytes personatus	Leuroglossus schmidti	ASV_22,ASV_1336,ASV_6,ASV_1101,ASV_243
Ammodytes personatus	Lutjanus argentimaculatus	ASV_22,ASV_1336,ASV_6,ASV_1013,ASV_103,ASV_1085,ASV_517,ASV_1132,ASV_1342,ASV_143,ASV_502,ASV_86
Ammodytes personatus	Microspathodon chrysurus	ASV_22,ASV_1336,ASV_6,ASV_255,ASV_99
Ammodytes personatus	Phoxinus phoxinus	ASV_22,ASV_1336,ASV_6,ASV_419
Ammodytes personatus	Sargocentron punctatissimum	ASV_22,ASV_1336,ASV_6,ASV_264,ASV_554,ASV_140
Ammodytes personatus	Scartella cristata	ASV_22,ASV_1336,ASV_6,ASV_57,ASV_27
Ammodytes personatus	Scopelosaurus harryi	ASV_22,ASV_1336,ASV_6,ASV_829,ASV_577
Ammodytes personatus	Xyrichtys novacula	ASV_22,ASV_1336,ASV_6,ASV_301,ASV_410,ASV_279
Apogon imberbis	Abudefduf taurus	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_1162
Apogon imberbis	Ammodytes americanus	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_241,ASV_124
Apogon imberbis	Ammodytes dubius	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_331,ASV_818,ASV_954,ASV_287,ASV_365
Apogon imberbis	Ammodytes personatus	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_22,ASV_1336,ASV_6
Apogon imberbis	Bairdiella chrysoura	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_158,ASV_72,ASV_47,ASV_76
Apogon imberbis	Brotula multibarbata	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_432,ASV_956
Apogon imberbis	Caranx bucculentus	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_138,ASV_317,ASV_192,ASV_215
Apogon imberbis	Chaetodon ocellatus	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_229,ASV_119
Apogon imberbis	Chanos chanos	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_236,ASV_97
Apogon imberbis	Citharichthys sordidus	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_471
Apogon imberbis	Coryphaenoides acrolepis	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_860
Apogon imberbis	Dicentrarchus labrax	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_1002
Apogon imberbis	Engraulis japonicus	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_368,ASV_535,ASV_977,ASV_197
Apogon imberbis	Gerres cinereus	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_200,ASV_94,ASV_983
Apogon imberbis	Girella cyanea	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_398,ASV_151
Apogon imberbis	Heteropriacanthus cruentatus	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_795,ASV_1023
Apogon imberbis	Hyporhamphus quoyi	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_197,ASV_49,ASV_98
Apogon imberbis	Lagodon rhomboides	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_313,ASV_448
Apogon imberbis	Leuroglossus schmidti	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_1101,ASV_243
Apogon imberbis	Lutjanus argentimaculatus	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_1013,ASV_103,ASV_1085,ASV_517,ASV_1132,ASV_1342,ASV_143,ASV_502,ASV_86
Apogon imberbis	Microspathodon chrysurus	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_255,ASV_99
Apogon imberbis	Myliobatis freminvillei	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_253
Apogon imberbis	Phoxinus phoxinus	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_419
Apogon imberbis	Plagiotremus tapeinosoma	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_1117,ASV_520,ASV_77,ASV_839,ASV_1048,ASV_1181,ASV_69
Apogon imberbis	Rhinoptera bonasus	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_1033
Apogon imberbis	Sargocentron punctatissimum	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_264,ASV_554,ASV_140
Apogon imberbis	Scartella cristata	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_57,ASV_27
Apogon imberbis	Scopelosaurus harryi	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_829,ASV_577
Apogon imberbis	Selar crumenophthalmus	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_151,ASV_62
Apogon imberbis	Xyrichtys novacula	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82,ASV_301,ASV_410,ASV_279
Apogon imberbis	Zooplankton and Crustaceans	ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82
Auxis thazard	Abudefduf taurus	ASV_265,ASV_185,ASV_1162
Auxis thazard	Aetobatus narinari	ASV_265,ASV_185,ASV_183,ASV_604
Auxis thazard	Ammodytes americanus	ASV_265,ASV_185,ASV_241,ASV_124
Auxis thazard	Ammodytes dubius	ASV_265,ASV_185,ASV_331,ASV_818,ASV_954,ASV_287,ASV_365
Auxis thazard	Ammodytes personatus	ASV_265,ASV_185,ASV_22,ASV_1336,ASV_6
Auxis thazard	Apogon imberbis	ASV_265,ASV_185,ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82
Auxis thazard	Bairdiella chrysoura	ASV_265,ASV_185,ASV_158,ASV_72,ASV_47,ASV_76
Auxis thazard	Brotula multibarbata	ASV_265,ASV_185,ASV_432,ASV_956
Auxis thazard	Caranx bucculentus	ASV_265,ASV_185,ASV_138,ASV_317,ASV_192,ASV_215
Auxis thazard	Chaetodon ocellatus	ASV_265,ASV_185,ASV_229,ASV_119
Auxis thazard	Chanos chanos	ASV_265,ASV_185,ASV_236,ASV_97
Auxis thazard	Citharichthys sordidus	ASV_265,ASV_185,ASV_471
Auxis thazard	Coryphaenoides acrolepis	ASV_265,ASV_185,ASV_860
Auxis thazard	Dicentrarchus labrax	ASV_265,ASV_185,ASV_1002
Auxis thazard	Engraulis japonicus	ASV_265,ASV_185,ASV_368,ASV_535,ASV_977,ASV_197
Auxis thazard	Galeocerdo cuvier	ASV_265,ASV_185,ASV_1061
Auxis thazard	Gerres cinereus	ASV_265,ASV_185,ASV_200,ASV_94,ASV_983
Auxis thazard	Girella cyanea	ASV_265,ASV_185,ASV_398,ASV_151
Auxis thazard	Gymnothorax vicinus	ASV_265,ASV_185,ASV_673
Auxis thazard	Heteropriacanthus cruentatus	ASV_265,ASV_185,ASV_795,ASV_1023
Auxis thazard	Hyporhamphus quoyi	ASV_265,ASV_185,ASV_197,ASV_49,ASV_98
Auxis thazard	Lagodon rhomboides	ASV_265,ASV_185,ASV_313,ASV_448
